State,"Agriculture, forestry, fishing, and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,Finance and insurance,Real estate and rental and leasing,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Educational services,Health care and social assistance,"Arts, entertainment, and recreation",Accomodation and food services,Other services (except government and government enterprises),Government and government enterprises,
Arizona ,-0.9,0.06,0,0.08,0.12,0.01,0.01,0.08,0.13,-0.25,0.16,0.3,0.05,-0.11,0.17,-0.12,-0.06,-0.27,-0.39,-0.62,-0.21,-0.06
New Mexico,-3.1,-0.2,-0.98,0.12,-0.07,-0.09,-0.02,-0.12,-0.1,-0.35,-0.13,0.02,0,-0.04,0.04,-0.03,-0.04,-0.37,-0.23,-0.58,-0.25,0.34
Oklahoma,-6.1,-0.17,-2.31,-0.09,-0.26,-0.53,-0.03,-0.33,0.07,-1.13,0.04,0.09,-0.11,-0.27,0.37,-0.14,-0.08,-0.3,-0.18,-0.44,-0.24,-0.04
Texas,-3.5,-0.11,-0.77,-0.01,-0.13,-0.08,-0.31,-0.39,-0.11,-0.42,0,0.17,-0.13,0.1,-0.06,-0.06,-0.04,-0.25,-0.25,-0.43,-0.2,0.01
Colorado ,-1.5,-0.16,-0.02,0.08,0.05,0.07,-0.03,-0.1,-0.06,-0.38,0.73,0.3,0.02,0.01,0.13,-0.1,-0.03,-0.32,-0.58,-0.65,-0.26,-0.16
Idaho ,-1.1,-0.19,-0.03,0.19,0.4,0.18,0.05,-0.06,-0.14,-0.34,-0.12,0.25,0.04,0.08,0.05,0.05,-0.03,-0.3,-0.27,-0.59,-0.27,-0.08
Montana ,-3,0.53,-0.14,0.22,0.16,-0.01,-0.31,-0.12,-0.25,-0.7,0.02,-0.02,0.01,-0.05,0,-0.02,-0.04,-0.56,-0.32,-0.78,-0.28,-0.35
Utah ,-0.1,-0.08,-0.02,0.02,0.61,-0.06,0.16,-0.02,0.05,-0.32,0.22,0.58,0.01,-0.31,0.04,-0.06,0.02,-0.09,-0.34,-0.45,-0.2,0.15
Wyoming ,-7,-0.35,-2.48,0.11,-0.15,-0.02,0.03,-0.3,0.08,-1.66,-0.07,-0.1,-0.2,-0.1,-0.04,-0.14,-0.01,-0.19,-0.1,-0.63,-0.23,-0.41
Alaska ,-4.9,-0.01,-0.69,0.15,0.02,0,-0.04,-0.12,-0.16,-1.09,-0.09,0.02,-0.13,-0.13,-0.05,0,-0.06,-0.59,-0.24,-0.83,-0.21,-0.64
California ,-2.8,0.1,-0.04,0.04,-0.09,-0.18,-0.05,-0.21,-0.18,-0.38,0.4,0.14,0.08,-0.04,0,-0.07,-0.08,-0.31,-0.57,-0.73,-0.3,-0.32
Hawaii ,-8,0.03,0,0.09,-0.09,-0.02,-0.18,-0.36,-0.27,-1.05,-0.13,0.12,-0.3,-0.13,-0.09,-0.21,-0.16,-0.27,-0.51,-3.9,-0.35,-0.24
Nevada,-4.6,-0.05,0.14,0.09,0.14,0.18,0.04,-0.19,-0.24,-0.41,-0.1,0.19,0.08,-0.11,0,-0.21,-0.06,-0.16,-0.71,-2.61,-0.22,-0.39
Oregon ,-2.8,0.14,0,0.09,0.06,-0.3,-0.07,-0.09,-0.09,-0.3,0.09,0.02,0.07,-0.11,0.21,-0.04,-0.1,-0.35,-0.39,-0.92,-0.27,-0.48
Washington,-0.7,0.13,-0.01,0.1,-0.12,-0.61,-0.06,-0.24,0.35,-0.38,1.78,0.04,0.09,0.19,-0.08,0.01,-0.06,-0.34,-0.37,-0.7,-0.27,-0.2
